repo,baseline,state,query_id,query_type,eligible,n_relevant,stale_rank,fresh_rank,recall1_stale,recall3_stale,recall5_stale,recall10_stale,mrr_stale,recall1_fresh,recall3_fresh,recall5_fresh,recall10_fresh,mrr_fresh
PostSpark 3,A,a4d32bab9,q-016,feature-added,1,1,-1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,a4d32bab9,q-018,ai-added,1,1,-1,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303
PostSpark 3,A,a4d32bab9,q-019,feature-stable,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,a4d32bab9,q-026,editor-added,1,1,-1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,a4d32bab9,q-027,editor-modified,1,1,-1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
PostSpark 3,A,a4d32bab9,q-028,editor-stable,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,a4d32bab9,q-029,editor-modified,1,2,1,1,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0
PostSpark 3,A,a4d32bab9,q-032,client-central,1,1,10,3,0.0,0.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.333333
PostSpark 3,A,a4d32bab9,q-033,client-infra,1,2,1,1,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0
PostSpark 3,A,a4d32bab9,q-035,config-central,1,1,88,188,0.0,0.0,0.0,0.0,0.011364,0.0,0.0,0.0,0.0,0.005319
PostSpark 3,A,a4d32bab9,q-036,infra-central,1,1,13,21,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.047619
PostSpark 3,A,a4d32bab9,q-037,api-central,1,1,3,2,0.0,1.0,1.0,1.0,0.333333,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,a4d32bab9,q-038,feature-stable,1,1,5,2,0.0,0.0,1.0,1.0,0.2,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,a4d32bab9,q-039,feature-stable,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,a4d32bab9,q-040,feature-stable,1,3,3,2,0.0,0.333333,0.666667,0.666667,0.333333,0.0,0.333333,0.333333,0.666667,0.5
PostSpark 3,A,a4d32bab9,q-044,editor-deleted,1,2,1,1,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
PostSpark 3,A,a4d32bab9,q-045,ui-deleted,1,1,6,3,0.0,0.0,0.0,1.0,0.166667,0.0,1.0,1.0,1.0,0.333333
PostSpark 3,A,a4d32bab9,q-046,view-added,1,1,2,2,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,f7c0b2d2f,q-001,auth-modified,1,2,60,13,0.0,0.0,0.0,0.0,0.016667,0.0,0.0,0.0,0.0,0.076923
PostSpark 3,A,f7c0b2d2f,q-002,auth-central,1,3,3,1,0.0,0.333333,0.666667,0.666667,0.333333,0.333333,0.666667,0.666667,0.666667,1.0
PostSpark 3,A,f7c0b2d2f,q-003,billing-central,1,2,1,1,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
PostSpark 3,A,f7c0b2d2f,q-004,billing-infra,1,2,1,1,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
PostSpark 3,A,f7c0b2d2f,q-005,ui-peripheral,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,f7c0b2d2f,q-006,ui-peripheral,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,f7c0b2d2f,q-007,db-config,1,1,6,5,0.0,0.0,0.0,1.0,0.166667,0.0,0.0,1.0,1.0,0.2
PostSpark 3,A,f7c0b2d2f,q-008,db-central,1,1,39,24,0.0,0.0,0.0,0.0,0.025641,0.0,0.0,0.0,0.0,0.041667
PostSpark 3,A,f7c0b2d2f,q-009,db-added,1,1,-1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,f7c0b2d2f,q-010,ai-central,1,1,2,1,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,f7c0b2d2f,q-014,ai-stable,1,2,1,7,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.142857
PostSpark 3,A,f7c0b2d2f,q-015,feature-stable,1,3,16,1,0.0,0.0,0.0,0.0,0.0625,0.333333,0.333333,0.333333,0.333333,1.0
PostSpark 3,A,f7c0b2d2f,q-016,feature-added,1,1,-1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,f7c0b2d2f,q-018,ai-added,1,1,-1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125
PostSpark 3,A,f7c0b2d2f,q-019,feature-stable,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,f7c0b2d2f,q-026,editor-added,1,1,-1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,f7c0b2d2f,q-027,editor-modified,1,1,-1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
PostSpark 3,A,f7c0b2d2f,q-028,editor-stable,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,f7c0b2d2f,q-029,editor-modified,1,2,1,1,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0
PostSpark 3,A,f7c0b2d2f,q-032,client-central,1,1,10,2,0.0,0.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,f7c0b2d2f,q-033,client-infra,1,2,1,1,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0
PostSpark 3,A,f7c0b2d2f,q-035,config-central,1,1,88,189,0.0,0.0,0.0,0.0,0.011364,0.0,0.0,0.0,0.0,0.005291
PostSpark 3,A,f7c0b2d2f,q-036,infra-central,1,1,13,22,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.045455
PostSpark 3,A,f7c0b2d2f,q-037,api-central,1,1,3,14,0.0,1.0,1.0,1.0,0.333333,0.0,0.0,0.0,0.0,0.071429
PostSpark 3,A,f7c0b2d2f,q-038,feature-stable,1,1,5,1,0.0,0.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,f7c0b2d2f,q-039,feature-stable,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,f7c0b2d2f,q-040,feature-stable,1,3,3,4,0.0,0.333333,0.666667,0.666667,0.333333,0.0,0.0,0.333333,0.666667,0.25
PostSpark 3,A,f7c0b2d2f,q-044,editor-deleted,1,2,1,1,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
PostSpark 3,A,f7c0b2d2f,q-045,ui-deleted,1,1,6,3,0.0,0.0,0.0,1.0,0.166667,0.0,1.0,1.0,1.0,0.333333
PostSpark 3,A,f7c0b2d2f,q-046,view-added,1,1,2,3,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.333333
PostSpark 3,A,aa2521c96,q-001,auth-modified,1,2,60,16,0.0,0.0,0.0,0.0,0.016667,0.0,0.0,0.0,0.0,0.0625
PostSpark 3,A,aa2521c96,q-002,auth-central,1,3,3,1,0.0,0.333333,0.666667,0.666667,0.333333,0.333333,0.666667,0.666667,0.666667,1.0
PostSpark 3,A,aa2521c96,q-003,billing-central,1,2,1,1,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
PostSpark 3,A,aa2521c96,q-004,billing-infra,1,2,1,1,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
PostSpark 3,A,aa2521c96,q-005,ui-peripheral,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,aa2521c96,q-006,ui-peripheral,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,aa2521c96,q-007,db-config,1,1,6,5,0.0,0.0,0.0,1.0,0.166667,0.0,0.0,1.0,1.0,0.2
PostSpark 3,A,aa2521c96,q-008,db-central,1,1,39,26,0.0,0.0,0.0,0.0,0.025641,0.0,0.0,0.0,0.0,0.038462
PostSpark 3,A,aa2521c96,q-009,db-added,1,1,-1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,aa2521c96,q-010,ai-central,1,1,2,1,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,aa2521c96,q-014,ai-stable,1,2,1,7,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.142857
PostSpark 3,A,aa2521c96,q-015,feature-stable,1,3,16,1,0.0,0.0,0.0,0.0,0.0625,0.333333,0.333333,0.333333,0.333333,1.0
PostSpark 3,A,aa2521c96,q-016,feature-added,1,1,-1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,aa2521c96,q-018,ai-added,1,1,-1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125
PostSpark 3,A,aa2521c96,q-019,feature-stable,1,1,1,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,aa2521c96,q-026,editor-added,1,1,-1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,aa2521c96,q-027,editor-modified,1,1,-1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333
PostSpark 3,A,aa2521c96,q-028,editor-stable,1,1,1,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,aa2521c96,q-029,editor-modified,1,2,1,1,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0
PostSpark 3,A,aa2521c96,q-032,client-central,1,1,10,3,0.0,0.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.333333
PostSpark 3,A,aa2521c96,q-033,client-infra,1,2,1,1,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0
PostSpark 3,A,aa2521c96,q-035,config-central,1,1,88,190,0.0,0.0,0.0,0.0,0.011364,0.0,0.0,0.0,0.0,0.005263
PostSpark 3,A,aa2521c96,q-036,infra-central,1,1,13,22,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.045455
PostSpark 3,A,aa2521c96,q-037,api-central,1,1,3,3,0.0,1.0,1.0,1.0,0.333333,0.0,1.0,1.0,1.0,0.333333
PostSpark 3,A,aa2521c96,q-038,feature-stable,1,1,5,1,0.0,0.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,aa2521c96,q-039,feature-stable,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,aa2521c96,q-040,feature-stable,1,3,3,7,0.0,0.333333,0.666667,0.666667,0.333333,0.0,0.0,0.0,0.666667,0.142857
PostSpark 3,A,aa2521c96,q-044,editor-deleted,1,2,1,1,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
PostSpark 3,A,aa2521c96,q-045,ui-deleted,1,1,6,3,0.0,0.0,0.0,1.0,0.166667,0.0,1.0,1.0,1.0,0.333333
PostSpark 3,A,aa2521c96,q-046,view-added,1,1,2,2,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,5192f8bcc,q-001,auth-modified,1,2,60,17,0.0,0.0,0.0,0.0,0.016667,0.0,0.0,0.0,0.0,0.058824
PostSpark 3,A,5192f8bcc,q-002,auth-central,1,3,3,2,0.0,0.333333,0.666667,0.666667,0.333333,0.0,0.666667,0.666667,0.666667,0.5
PostSpark 3,A,5192f8bcc,q-003,billing-central,1,2,1,1,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
PostSpark 3,A,5192f8bcc,q-004,billing-infra,1,2,1,1,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
PostSpark 3,A,5192f8bcc,q-005,ui-peripheral,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,5192f8bcc,q-006,ui-peripheral,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,5192f8bcc,q-007,db-config,1,1,6,5,0.0,0.0,0.0,1.0,0.166667,0.0,0.0,1.0,1.0,0.2
PostSpark 3,A,5192f8bcc,q-008,db-central,1,1,39,27,0.0,0.0,0.0,0.0,0.025641,0.0,0.0,0.0,0.0,0.037037
PostSpark 3,A,5192f8bcc,q-009,db-added,1,1,-1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,5192f8bcc,q-010,ai-central,1,1,2,1,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,5192f8bcc,q-014,ai-stable,1,2,1,7,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.142857
PostSpark 3,A,5192f8bcc,q-015,feature-stable,1,3,16,1,0.0,0.0,0.0,0.0,0.0625,0.333333,0.333333,0.333333,0.333333,1.0
PostSpark 3,A,5192f8bcc,q-016,feature-added,1,1,-1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,5192f8bcc,q-018,ai-added,1,1,-1,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029412
PostSpark 3,A,5192f8bcc,q-019,feature-stable,1,1,1,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,5192f8bcc,q-026,editor-added,1,1,-1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,5192f8bcc,q-027,editor-modified,1,1,-1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333
PostSpark 3,A,5192f8bcc,q-028,editor-stable,1,1,1,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
PostSpark 3,A,5192f8bcc,q-029,editor-modified,1,2,1,1,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0
PostSpark 3,A,5192f8bcc,q-032,client-central,1,1,10,39,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.025641
PostSpark 3,A,5192f8bcc,q-033,client-infra,1,2,1,1,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,1.0
PostSpark 3,A,5192f8bcc,q-035,config-central,1,1,88,194,0.0,0.0,0.0,0.0,0.011364,0.0,0.0,0.0,0.0,0.005155
PostSpark 3,A,5192f8bcc,q-036,infra-central,1,1,13,23,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.043478
PostSpark 3,A,5192f8bcc,q-037,api-central,1,1,3,3,0.0,1.0,1.0,1.0,0.333333,0.0,1.0,1.0,1.0,0.333333
PostSpark 3,A,5192f8bcc,q-038,feature-stable,1,1,5,1,0.0,0.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0
PostSpark 3,A,5192f8bcc,q-039,feature-stable,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
